day,time,artist,album,type,title,spotify,apple,year,month
19,18:00,WINNER,MILLIONS,digital single,MILLIONS,https://open.spotify.com/album/1qBFnXYzALfwnIvsknOEKK,None,2018,12
19,18:00,Yu Seungwoo,Dream,digital single,Dream,https://open.spotify.com/album/4n9ZNNL6so2TqRi1hYBmU1,None,2018,12
20,18:00,Penomeco,Garden,mini album,No.5 (feat. Crush),https://open.spotify.com/album/19HqbZL9Y69UssY9DDyBXR,None,2018,12
20,18:00,Sooyoung (Girls' Generation),Winter Breath,debut digital single,Winter Breath,https://open.spotify.com/album/4BrCVXB3LygHTqNHNoQqaO,None,2018,12
21,00:00,SEVENTEEN,Getting Closer,digital single,Getting Closer,None,None,2018,12
21,18:00,Suhyun (AKMU) X Jannabi,Made in Christmas,digital single,Made in Christmas,https://open.spotify.com/album/5UfF1bWCp2NeXkZc3BBgmp,None,2018,12
22,18:00,Jiyeon (T-ara),One day,digital single,One day,https://open.spotify.com/album/5XJ8KaEakelxtxerZVwZFi,None,2018,12
23,18:00,WAX,My Romance,mini album,A rising direction (feat. Kwak Jin Eon) / My Romance,https://open.spotify.com/album/4HkfobLn3920bsXSSsYitP,None,2018,12
24,00:00,EXO,Don't Mess Up My Tempo (Vivace Ver.),limited edition full-length album,,None,None,2018,12
24,18:00,Andy (Shinhwa),A'NDY to Z,digital single,Fall In Love...,https://open.spotify.com/album/2xZ3PgqM1AtZoFQm3F3xoA,None,2018,12
26,00:00,KEY (SHINee),Hologram,Japanese debut single album,,https://open.spotify.com/album/5pnH3828sT7VSuoSh0AuOO,None,2018,12
26,00:00,TWICE,BDZ-Repackage,Japanese repackage full-length album,Stay By My Side,https://open.spotify.com/album/1dZtA3Lt9sUGqkM6KWY92x,None,2018,12
26,18:00,TVXQ,New Chapter #2: The Truth of Love,special mini album,Truth,https://open.spotify.com/album/0pHTB9s8eflsnSSIhrCBEY,None,2018,12
27,18:00,NCT DREAM,Candle Light,SM STATION 3 project single,Candle Light,https://open.spotify.com/album/077Bz6P3dTrhGjYx2vF0yY,None,2018,12
28,18:00,Babylon,그리운 건 그때 그대,digital single,그리운 건 그때 그대 (feat. BTOB's Jung Ilhoon),None,None,2018,12
28,18:00,"Jung Key, Musiq Soulchild",My Girl,digital single,My Girl,https://open.spotify.com/album/16nVDAxOvXmFdYVfRzGGG6,None,2018,12
29,18:00,EDEN,Happy new year my lover,STARDUST project single,Happy new year my lover,https://open.spotify.com/album/57YO8Z7znBwVUy8hqxPVxR,None,2018,12
31,12:00,Soo (24K),Goodbye,digital single,Goodbye,None,None,2018,12
1,18:00,SHAUN,안녕,mini album,Traveler,https://open.spotify.com/album/70pSMeD8jHIBvobEZ2BmKk,https://itunes.apple.com/gb/album//1447572835,2019,1
1,18:00,Baek Ji Woong,Blurred,digital single,Blurred (feat. Yang Da Il),https://open.spotify.com/album/30bLendZbMvPUok3mfcjVQ,https://itunes.apple.com/gb/album/blurred-feat-yang-dail-single/1448236272,2019,1
